num,variable ,subcategory,mean
1,Oregon,"Assessment, Intervention, and Retention",0.5
2,Oregon,Disciplinary Approaches Addressing Specific Infractions and Conditions,1
3,Oregon,Family Engagement,0.5
4,Oregon,Financial Aid Policies,1
5,Oregon,Free College,1
6,Oregon,Kindergarten Requirements,0.75
7,Oregon,Monitoring and Accountability,1
8,Oregon,Need and Merit Based Financial Aid,0.6666667
9,Oregon,Prevention and Behavioral Interventions (Non-Punitive),1
10,Oregon,School Readiness and Transitions,1
11,Oregon,"School Resources, Safety Officers, Truant/Attendance Officers",0
12,Oregon,Secondary Career and Technical Education,0.75
13,Oregon,Social-Emotional Learning,1
14,Oregon,State Education Agency Support,1
15,Oregon,State Policy Models for Connecting Education to Work,0
16,Oregon,Statewide Apprenticeships,0.6666667
17,Oregon,Student Discipline,1
18,Oregon,Student Suspensions,0.7777778
19,Oregon,Teacher Quality,0.2
20,Virginia,"Assessment, Intervention, and Retention",1
21,Virginia,Disciplinary Approaches Addressing Specific Infractions and Conditions,1
22,Virginia,Family Engagement,0
23,Virginia,Financial Aid Policies,1
24,Virginia,Free College,0
25,Virginia,Kindergarten Requirements,0.75
26,Virginia,Monitoring and Accountability,1
27,Virginia,Need and Merit Based Financial Aid,1
28,Virginia,Prevention and Behavioral Interventions (Non-Punitive),0.6666667
29,Virginia,School Readiness and Transitions,0.6
30,Virginia,"School Resources, Safety Officers, Truant/Attendance Officers",1
31,Virginia,Secondary Career and Technical Education,0.5
32,Virginia,Social-Emotional Learning,1
33,Virginia,State Education Agency Support,1
34,Virginia,State Policy Models for Connecting Education to Work,1
35,Virginia,Statewide Apprenticeships,1
36,Virginia,Student Discipline,0.4
37,Virginia,Student Suspensions,0.7777778
38,Virginia,Teacher Quality,0.6
39,Iowa,"Assessment, Intervention, and Retention",1
40,Iowa,Disciplinary Approaches Addressing Specific Infractions and Conditions,0.5714286
41,Iowa,Family Engagement,0
42,Iowa,Financial Aid Policies,0.8
43,Iowa,Free College,0.5
44,Iowa,Kindergarten Requirements,0.25
45,Iowa,Monitoring and Accountability,0.5
46,Iowa,Need and Merit Based Financial Aid,0.6666667
47,Iowa,Prevention and Behavioral Interventions (Non-Punitive),0.3333333
48,Iowa,School Readiness and Transitions,0.4
49,Iowa,"School Resources, Safety Officers, Truant/Attendance Officers",0.5
50,Iowa,Secondary Career and Technical Education,0.25
51,Iowa,Social-Emotional Learning,1
52,Iowa,State Education Agency Support,0
53,Iowa,State Policy Models for Connecting Education to Work,1
54,Iowa,Statewide Apprenticeships,0.6666667
55,Iowa,Student Discipline,0.2
56,Iowa,Student Suspensions,0.4444444
57,Iowa,Teacher Quality,0.8
