Domain,Subdomain,Question,Virginia,Iowa,Oregon
Policing,Arrest and Court Proceedings Policies,Does the state baned stop and identify practices?,0,0,0
Policing,Arrest and Court Proceedings Policies,Does the state allow for alternatives to cash bail?,1,1,1
Policing,Arrest and Court Proceedings Policies,Does the state ban bounty hunters?,0,0,1
Policing,Arrest and Court Proceedings Policies,"In the case of civil asset forfeiture, does the state require a conviction in criminal court to forfeit most or all types of property?",1,1,1
Policing,Arrest and Court Proceedings Policies,"In the case of civil asset forfeiture, does the state require the government to bear the burden of proof for innocent-owner claims?",0,1,1
Policing,Incarceration Practices,Does the state have standards that mention both health care for pregnant inmates planning to carry to term and for those who seek an abortion?,0,0,1
Policing,Incarceration Practices,Does the state have an administrative regulation on correctional health care that addresses abortion access?,0,0,0
Policing,Incarceration Practices,Does the state have standards that mention prenatal health care (not including abortion)?,1,0,0
Policing,Incarceration Practices,Does the state have GED and vocational training programmes for inmates in state prisons?,1,1,1
Policing,Incarceration Practices,Does the state have Special Education and Engligh as a Second Language Programmes for inmates in state prisons?,1,1,1
Policing,Incarceration Practices,Has the state reduced the number of private prisons in the last 5 years?,0,1,1
Policing,Incarceration Practices,Does the state have statutes for sexual misconduct by a correctional officer?,1,1,1
Policing,Incarceration Practices,Has the state removed the death penalty?,1,1,0
Policing,Incarceration Practices,Does the state have a minimum age at which a youth can be adjudicated delinquent?,0,0,0
Policing,Incarceration Practices,What is the maximum age in the state at which a youth can be adjudicated delinquent?,1,1,1
Policing,Community Policing Practices,Does the state require police officers to wear body cameras?,0,0,1
Policing,Community Policing Practices,"Has the state removed the requirement for the collection of demographic information (race, ethnicity, gender and age) for motor vehicle stops?",1,1,0
Policing,Community Policing Practices,Does the state have statutes for custodial sexual misconduct?,1,1,0
Policing,Community Policing Practices,Does State Law Provide Unemployment Insurance Benefits to Domestic Violence Victims?,0,0,1
Policing,Community Policing Practices,Does the state ban Gun Possession for Individuals Subject to Domestic Violence Protection Orders?,0,1,0
Housing,Assistance,Are there loan assistance programs for first time homeowners,1,1,1
