,Subdomain,State,Score
0,School Climate,Oregon,0.839285714
1,Early Childhood Education,Oregon,0.64
2,Post-Secondary Affordability,Oregon,0.888888889
3,Workforce Development Policy,Oregon,0.472222222
4,School Climate,Virginia,0.848809524
5,Early Childhood Education,Virginia,0.64
6,Post-Secondary Affordability,Virginia,0.666666667
7,Workforce Development Policy,Virginia,0.833333333
8,School Climate,Iowa,0.372108844
9,Early Childhood Education,Iowa,0.64
10,Post-Secondary Affordability,Iowa,0.888888889
11,Workforce Development Policy,Iowa,0.638888889
